X,Y,fid,Name,No,SK_ID,SK_start_position,Side_road___kp,Road,Kp,Kp_SK,odc,Modules,Module_1,Module_2,Module_3,Module_4,Module_5,Module_6,Module_7,Module_8,Module_9,Module_10,Module_11,SK_ID_full,status,GSM,Odcinek,Typ szafy,icon_url
18.7394014,50.3705438,"1336",SSKA1ckm015087,"2339.0","2339.0","1312.0",,A1,,,,"1.0",104_C_3_001,,,,,,,,,,,ID_0_2339,"0",,"2",M-3.1,./0.png
18.7370247,50.3697394,"1337",SSKA1ckm015275,"2340.0","2340.0","1313.0",,A1,,,,"2.0",104_B_3_328,114_A_3_311,,,,,,,,,,ID_0_2340,"0",,"2",M-3.1,./0.png
18.7282945,50.360445,"1338",SSKA1ckm016497,"2341.0","2341.0","1315.0",,A1,,,,"2.0",101_A_3_016,101_A_3_078,,,,,,,,,,ID_0_2341,"0",,"2",M-3.1,./0.png
18.723702,50.3495704,"1339",SSKA1ckm017755,"2342.0","2342.0","1317.0",,A1,,,,"1.0",104_C_3_082,,,,,,,,,,,ID_0_2342,"0",,"2",M-3.1,./0.png
18.723318,50.347955,"1340",SSKA1ckm017934,"2343.0","2343.0","1318.0",,A1,,,,"3.0",104_B_3_149,106_A_3_033,114_A_3_150,,,,,,,,,ID_0_2343,"0",,"2",M-3.1,./0.png
18.7248276,50.3465922,"1341",SSKA1ckm018093,"2344.0","2344.0","1321.0",,A1,,,,"1.0",104_C_3_080,,,,,,,,,,,ID_0_2344,"0",,"2",M-3.1,./0.png
18.725508,50.346572,"1342",SSKA1ckm018108LŁ,"2345.0","2345.0","1322.0",,A1,,,,"2.0",104_B_3_002,114_A_3_002,,,,,,,,,,ID_0_2345,"0",,"2",M-3.1,./0.png
18.724102,50.346738,"1343",SSKA1ckm018075PŁ,"2346.0","2346.0","1324.0",,A1,,,,"3.0",104_B_3_001,104_C_3_081,114_A_3_001,,,,,,,,,ID_0_2346,"0",,"2",M-3.1,./0.png
18.725706,50.345779,"1344",SSKA1ckm018206LŁ,"2347.0","2347.0","1327.0",,A1,,,,"2.0",104_B_3_150,114_A_3_151,,,,,,,,,,ID_0_2347,"0",,"2",M-3.1,./0.png
18.71991,50.3433422,"1345",SSKA1ckm018343,"2348.0","2348.0","1329.0",,A1,,,,"1.0",101_C_3_009,,,,,,,,,,,ID_0_2348,"0",,"2",M-3.1,./0.png
18.7256341,50.3443821,"1346",SSKA1ckm018362,"2349.0","2349.0","1330.0",,A1,,,,"1.0",104_C_3_079,,,,,,,,,,,ID_0_2349,"0",,"2",M-3.1,./0.png
18.7287984,50.3354073,"1347",SSKA1ckm019366,"2350.0","2350.0","1331.0",,A1,,, 104_B_3_342,"5.0",101_A_3_042,104_B_3_323,104_B_3_342,114_A_3_307,114_A_3_321,,,,,,,ID_0_2350,"0",,"2",M-3.2,./0.png
18.7280365,50.3228247,"1348",SSKA1ckm020795,"2351.0","2351.0","1336.0",,A1,,,,"1.0",101_A_3_017,,,,,,,,,,,ID_0_2351,"0",,"2",M-3.1,./0.png
18.72534,50.311265,"1349",SSKA1ckm022090ŁP,"2352.0","2352.0","1337.0",,A1,,,,"2.0",104_B_3_176,114_A_3_177,,,,,,,,,,ID_0_2352,"0",,"2",M-3.1,./0.png
18.7229773,50.3101815,"1350",SSKA1ckm022169ŁP,"2353.0","2353.0","1339.0",,Ł,,,,"1.0",103_B_3_033,,,,,,,,,,,ID_0_2353,"0",,"2",M-3.2,./0.png
18.725781,50.310376,"1351",SSKA1ckm022203ŁP,"2354.0","2354.0","1340.0",,A1,,,,"2.0",104_B_3_175,114_A_3_176,,,,,,,,,,ID_0_2354,"0",,"2",M-3.1,./0.png
18.7263993,50.3104429,"1353",SSKA1ckm022208,"2356.0","2356.0","1342.0",,A1,,,,"1.0",104_C_3_084,,,,,,,,,,,ID_0_2356,"0",,"2",M-3.1,./0.png
18.721425,50.308975,"1354",SSKA1ckm022241ŁP,"2357.0","2357.0","1343.0",,A1,,,,"1.0",101_C_3_008,,,,,,,,,,,ID_0_2357,"0",,"2",M-3.2,./0.png
18.727896,50.309433,"1355",SSKA1ckm022310,"2358.0","2358.0","1344.0",,A1,,, 104_C_3_085,"5.0",104_B_3_146,104_B_3_147,104_C_3_085,114_A_3_147,114_A_3_148,,,,,,,ID_0_2358,"0",,"2",M-3.2,./0.png
18.8891357,50.3769729,"1356",SSKA1cStrzelcówBytomskichnr1,"2359.0","2359.0","1349.0",,DK11,,,,"1.0",101_B_3_085,,,,,,,,,,,ID_0_2359,"0",,"2",M-3.1,./0.png
18.8935351,50.3724237,"1357",SSKA1cStrzelcówBytomskichnr2,"2360.0","2360.0","1350.0",,DK11,,,,"1.0",101_B_3_086,,,,,,,,,,,ID_0_2360,"0",,"2",M-3.1,./0.png
18.9423595,50.3674336,"1398",SSKA1dBytomskanr1,"2401.0","2401.0","1351.0",,,,,,"1.0",101_B_3_088,,,,,,,,,,,ID_0_2401,"0",,"2",M-3.1,./0.png
19.0304221,50.8565041,"1399",SSKA1DK43nr2,"2402.0","2402.0","1352.0",,DK43,,,,"1.0",101_B_3_021,,,,,,,,,,,ID_0_2402,"0",,"2",M-3.1,./0.png
19.0490132,50.8443643,"1400",SSKA1DK93nr1,"2403.0","2403.0","1353.0",,DK43,,,,"1.0",101_B_3_020,,,,,,,,,,,ID_0_2403,"0",,"2",M-3.1,./0.png
19.0560238,50.453025,"1401",SSKA1dkm000050,"2404.0","2404.0","1354.0",,A1,,,,"1.0",103_B_3_011,,,,,,,,,,,ID_0_2404,"0",,"2",M-3.2,./0.png
19.0555962,50.4532531,"1402",SSKA1dkm000052ŁP,"2405.0","2405.0","1355.0",,A1,,,,"1.0",104_C_3_060,,,,,,,,,,,ID_0_2405,"0",,"2",M-3.1,./0.png
19.054748,50.452618,"1403",SSKA1dkm000116,"2406.0","2406.0","1356.0",,A1,,,,"2.0",104_B_3_113,114_A_3_114,,,,,,,,,,ID_0_2406,"0",,"2",M-3.1,./0.png
19.0560831,50.4493406,"1404",SSKA1dkm000483,"2407.0","2407.0","1358.0",,A1,,,,"1.0",104_C_3_064,,,,,,,,,,,ID_0_2407,"0",,"2",M-3.1,./0.png
19.0555285,50.4485931,"1405",SSKA1dkm000577,"2408.0","2408.0","1359.0",,A1,,,,"1.0",106_A_3_072,,,,,,,,,,,ID_0_2408,"0",,"2",M-3.1,./0.png
19.0565815,50.4455805,"1406",SSKA1dkm000882,"2409.0","2409.0","1360.0",,A1,,,,"1.0",104_C_3_063,,,,,,,,,,,ID_0_2409,"0",,"2",M-3.1,./0.png
19.0552256,50.436583,"1407",SSKA1dkm001928,"2410.0","2410.0","1361.0",,A1,,,,"2.0",101_A_3_071,101_A_3_085,,,,,,,,,,ID_0_2410,"0",,"2",M-3.1,./0.png
19.0373814,50.4117505,"1408",SSKA1dkm005000,"2411.0","2411.0","1363.0",,A1,,,,"2.0",104_C_3_009,106_B_3_003,,,,,,,,,,ID_0_2411,"0",,"2",M-3.3,./0.png
19.0207858,50.4062009,"1409",SSKA1dkm006329,"2412.0","2412.0","1365.0",,A1,,,,"2.0",104_B_3_322,114_A_3_306,,,,,,,,,,ID_0_2412,"0",,"2",M-3.1,./0.png
